Japanese,English,Category,Reading point
新入社員の時、毎晩遅くまで働かされました。,"When I was a new employee, I was made to work late every night.",passive-causative,Causative-passive
道が分からなかった時、知らない人が案内してくれました。,"When I was lost, a stranger kindly showed me the way.",giving-receiving,〜てくれる
鉛筆を二本ください。,"Two pencils, please.",counters,本 (long objects)
新幹線は飛行機より安いです。,The Shinkansen is cheaper than the plane.,comparisons,より (than)
音楽を聞きながら、宿題をしました。,I did my homework while listening to music.,conjunctions,〜ながら
来月から大阪で働くことになりました。,It has been decided that I will work in Osaka from next month.,reading-comprehension,〜ことになった
ご連絡をお待ちしております。,We look forward to hearing from you.,keigo,お/ご + noun
友達が家に遊びに来ました。,My friend came over to my house to hang out.,particles,へ vs に
はしでご飯を食べます。,I eat rice with chopsticks.,particles,で (means)
日本語が少し話せるようになりました。,I have become able to speak a little Japanese.,verb-forms,Potential form
富士山に登ったことがありますか。,Have you ever climbed Mt. Fuji?,verb-forms,〜たことがある
手を洗ってから、ご飯を食べましょう。,Let's eat after washing our hands.,te-form,〜てから
大切な書類をなくしてしまいました。,I (regrettably) lost an important document.,te-form,〜てしまう
駅までの道を通行人に聞きました。,I asked a passer-by the way to the station.,word-choice,聞く vs 尋ねる vs 質問する
来年、大学院に進学するつもりです。,I intend to go on to graduate school next year.,word-choice,つもり vs 予定
安ければ、買います。,"If it's cheap, I'll buy it.",conditionals,ば conditional
部長はもうお帰りになりましたか。,Has the manager already gone home?,keigo,尊敬語 お〜になる
すみませんが、もう少しゆっくり話していただけませんか。,"Excuse me, could you please speak a little more slowly?",giving-receiving,〜ていただけませんか
風邪で会社を二日休みました。,I took two days off work because of a cold.,counters,日 (days)
季節の中で、秋が一番好きです。,"Among the seasons, I like autumn the best.",comparisons,〜の中で一番
この店は安いし、おいしいし、よく来ます。,"This place is cheap, and the food is good, so I come often.",conjunctions,〜し〜し
今日は休みのはずだったのに、急に呼び出された。,"Today was supposed to be my day off, but I was suddenly called in.",reading-comprehension,〜はずだった
弟はゲームばかりしていて、全然勉強しません。,My brother does nothing but play games and doesn't study at all.,particles,ばかり
漢字は練習すればするほど、覚えられます。,"The more you practice kanji, the better you remember them.",verb-forms,〜ば〜ほど
この話は本人には言いづらい。,This is hard to bring up with the person themselves.,word-choice,〜づらい vs 〜にくい
毎朝、公園を走っています。,I run through the park every morning.,particles,を (path)
休みの日は映画とか音楽とかを楽しみます。,On my days off I enjoy things like movies and music.,particles,とか (examples)
旅行の前に、ホテルを予約しておきます。,I'll book the hotel before the trip (in preparation).,verb-forms,〜ておく
日本に来たばかりなので、まだ何も分かりません。,"I've only just arrived in Japan, so I don't know anything yet.",verb-forms,〜たばかり
この服、ちょっと着てみてもいいですか。,May I try this on?,te-form,〜てみる
すみません、トイレを借りてもいいですか。,"Excuse me, may I use your bathroom?",word-choice,借りる vs 貸す
部屋を暖かくしてください。,Please make the room warm.,word-choice,なる vs する
明日までにレポートを出さなければなりません。,I must submit the report by tomorrow.,conditionals,〜なければならない
のちほどこちらからお電話いたします。,We will call you back later.,keigo,謙譲語 いたす
その仕事、ぜひ私にやらせてください。,Please let me do that job.,passive-causative,〜させてください
先生が推薦状を書いてくださいました。,My teacher kindly wrote a recommendation letter for me.,giving-receiving,くださる
私の部屋はこのビルの五階にあります。,My room is on the fifth floor of this building.,counters,軒・階 confusion
駅から家まで歩いて十分ぐらいです。,It's about a ten-minute walk from the station to my house.,comparisons,〜くらい/ぐらい
昨夜は眠れませんでした。それで、今日はとても眠いです。,I couldn't sleep last night. That's why I'm very sleepy today.,conjunctions,それで vs だから
台風のため、イベントは中止せざるを得なかった。,"Because of the typhoon, they had no choice but to cancel the event.",reading-comprehension,〜ざるを得ない
「ありがとうございました」「こちらこそ」,"""Thank you very much."" ""No, thank you.""",particles,こそ
空が暗いですね。雨が降りそうですよ。,The sky is dark. It looks like it's about to rain.,word-choice,〜そう vs 〜よう vs 〜らしい
辞書を使わずに、この記事を読んでみてください。,Try reading this article without using a dictionary.,verb-forms,〜ずに
母が作ったカレーは世界一おいしいです。,The curry my mother makes is the best in the world.,particles,が (subject of subordinate clause)
この町には、大きな図書館があります。,"In this town, there is a big library.",particles,には (emphasis on location)
危ない!そこに行かないで!,Watch out! Don't go there!,verb-forms,Imperative (soft)
今、家を出るところです。,I'm just about to leave the house now.,verb-forms,〜ところ (about to / in the middle of)
雨が降っても、試合はあります。,"Even if it rains, the match will be held.",te-form,〜ても (even if)
「日本の電車は時間に正確ですよ」「なるほど、だから皆さん時計みたいに使うんですね」,"""Japanese trains are punctual."" ""I see — that's why people use them like clocks.""",word-choice,できるだけ vs なるほど
あの人の名前がどうしても思い出せません。,I just can't remember that person's name.,word-choice,覚える vs 思い出す
明日は休みだから、早く起きなくてもいいですよ。,"Tomorrow is a day off, so you don't have to get up early.",conditionals,〜なくてもいい
取引先からの依頼に対し、「承知いたしました。明日までに対応いたします」と答えた。,"In response to the client's request, I said, 'Understood. We will take care of it by tomorrow.'",keigo,了解 vs 承知
社長は何時ごろ帰られますか。,Around what time will the president return?,passive-causative,Honorific passive
毎朝、庭の花に水をやります。,Every morning I water the flowers in the garden.,giving-receiving,やる (downward giving)
この資料をあと十部コピーしてください。,Please make ten more copies of this handout.,counters,冊 vs 部
熱があるなら、早く寝たほうがいいですよ。,"If you have a fever, you'd better go to bed early.",comparisons,〜ほうがいい
もっと早く出発すれば、間に合ったのに。,"If we had left earlier, we would have made it.",conjunctions,〜ば〜のに (regret)
日本の地方では、人口が減りつつある町が増えている。,"In rural Japan, more and more towns have populations that are steadily shrinking.",reading-comprehension,〜つつある
時間さえあれば、もっと旅行したいです。,"If only I had the time, I'd travel more.",particles,さえ〜ば
娘は犬を飼いたがっています。,My daughter wants to keep a dog.,word-choice,〜がる (third-person feelings)
疲れていたので、電気をつけたまま寝てしまいました。,I was so tired I fell asleep with the light still on.,verb-forms,〜まま
週に三回、日本語の授業があります。,I have Japanese class three times a week.,particles,に (frequency basis)
田中さん、今日は来ないって言っていたよ。,Tanaka said he's not coming today.,particles,って (casual quotation)
この雨は夜まで止みそうにない。,This rain doesn't look like it will stop before night.,verb-forms,〜そうにない
机の上に読みかけの本が置いてある。,There's a half-read book lying on the desk.,verb-forms,〜かけの
先生に日本語を教えてあげるのは失礼になることがあります。,Saying you will 'teach' your teacher Japanese with てあげる can sound rude.,te-form,〜てあげる (caution)
「袋、ご利用ですか」「あ、大丈夫です」,"""Would you like a bag?"" ""Oh, I'm fine (no thanks).""",word-choice,大丈夫 (refusal)
歯が痛いので、歯医者に行きます。,"My tooth hurts, so I'm going to the dentist.",word-choice,痛い vs 痛む vs 怪我
疲れているなら、少し休んだらどうですか。,"If you're tired, why don't you rest a little?",conditionals,〜たらどうですか
車内での通話はご遠慮ください。,Please refrain from talking on the phone while on the train.,keigo,ご遠慮ください
帰り道で雨に降られて、服がびしょびしょになった。,"I got caught in the rain on my way home, and my clothes were soaked.",passive-causative,Suffering passive (rain)
この書類を今日中に確認してほしいんですが。,I'd like you to check this document by the end of today.,giving-receiving,〜てもらいたい/〜てほしい
レストランで店員に「何名様ですか」と聞かれた。,"At the restaurant, a server asked, 'How many people are in your party?'",counters,名 (formal people counter)
去年に比べて、今年の夏は過ごしやすい。,"Compared to last year, this summer is comfortable.",comparisons,〜に比べて
温かいうちに、スープを飲んでください。,Please drink the soup while it's still warm.,conjunctions,〜うちに
彼は英語どころか、フランス語もドイツ語も話せる。,Never mind English — he can speak French and German too.,reading-comprehension,〜どころか
狭いながらも、居心地のいい部屋だ。,"Though small, it's a cozy room.",particles,ながらも
部下が上司に「お疲れ様です」と声をかけた。,"A subordinate greeted their manager by saying, 'Thank you for your hard work.'",word-choice,お疲れ様 vs ご苦労様
先生のおかげで、試験に合格できました。,"Thanks to my teacher, I passed the exam.",verb-forms,〜おかげで vs 〜せいで
魚は食べますが、肉は食べません。,"I eat fish, but I don't eat meat.",particles,は (contrast)
お茶でも飲みませんか。,Would you like some tea or something?,particles,でも (suggestion)
去年から日本語を習いはじめました。,I started learning Japanese last year.,verb-forms,〜はじめる
この漢字は形が複雑で、覚えにくいです。,This kanji has a complex shape and is hard to memorize.,verb-forms,〜やすい/〜にくい
これから物価はもっと上がっていくでしょう。,Prices will probably keep going up from now on.,te-form,〜ていく/〜てくる
妻とは大学のサークルで知り合いました。,I met my wife in a university club.,word-choice,知り合う vs 出会う
叱られるより、無視されるほうがむしろつらい。,"Being ignored is, if anything, more painful than being scolded.",word-choice,むしろ
急がないと、電車に遅れますよ。,"If you don't hurry, you'll miss the train.",conditionals,〜ないと (warning)
店員は「ご注文がお決まりになりましたら、お呼びください」と案内した。,"The server said, 'Please call me when you have decided on your order.'",keigo,何名様 vs お名前
本日は都合により、午後六時で閉店させていただきます。,"Due to circumstances, we will be closing at 6 p.m. today.",passive-causative,〜させていただく
私は妹に宿題を手伝ってあげました。,I helped my little sister with her homework.,giving-receiving,Direction check
ラーメンを二杯も食べました。,I ate two whole bowls of ramen.,counters,杯 (bowls/cups)
日本語は勉強するほど面白くなります。,"The more you study Japanese, the more interesting it gets.",comparisons,〜ば〜ほど alternatives
晴れると思っていた。ところが、急に大雨が降ってきた。,"I thought it would be sunny. But then, it suddenly started pouring.",conjunctions,ところが
そんな運転をしていたら、事故を起こしかねないよ。,"If you drive like that, you could well cause an accident.",reading-comprehension,〜かねない
金曜日までにレポートを出してください。,Please submit the report by Friday.,particles,まで vs までに
約束したのだから、彼は来るはずだ。,"He promised, so he should be coming.",word-choice,はず vs べき
お客様が資料をご覧になりました。,The customer looked over the materials.,verb-forms,敬語の誤用: お〜する vs お〜になる
料理をするのが好きです。,I like cooking.,particles,の (nominalizer)
今日は暑いですね。,"It's hot today, isn't it?",particles,ね vs よ
早く起きるつもりだったのに、寝坊してしまった。,"I meant to get up early, but I overslept.",verb-forms,〜つもりだった
健康のために、毎日走ることにしました。,"For my health, I've decided to run every day.",verb-forms,〜ことにする
弟は寝てばかりいて、手伝ってくれません。,My brother does nothing but sleep and won't help.,te-form,〜てばかりいる
風で窓が開いた。,The window opened in the wind.,word-choice,開く vs 開ける (transitivity)
寒いので帽子をかぶって出かけました。,"It was cold, so I put on a hat and went out.",word-choice,つける vs はめる vs かぶる
この薬を飲みさえすれば、すぐ良くなりますよ。,"As long as you take this medicine, you'll get better soon.",conditionals,〜さえすれば
「明日、そちらに伺ってもよろしいでしょうか」,May I visit you tomorrow?,keigo,伺う vs 参る
ひどいことを言って、彼女を泣かせてしまった。,I said something terrible and made her cry.,passive-causative,泣かせる vs 泣かれる
先生からお土産をいただきました。,I received a souvenir from my teacher.,giving-receiving,いただく (object honorific)
動物園で象を三頭見ました。,I saw three elephants at the zoo.,counters,匹 vs 頭
彼の部屋は汚いというより、物置のようだ。,His room isn't so much dirty as it is like a storage shed.,comparisons,〜というより
この歌を聞くたびに、学生時代を思い出す。,"Every time I hear this song, I remember my school days.",conjunctions,〜たびに
電気がついているから、彼はもう帰っているに違いない。,"The lights are on, so he must already be home.",reading-comprehension,〜に違いない
免許は取ったものの、車を買うお金がない。,"I got my license, but I have no money to buy a car.",reading-comprehension,〜ものの
泣きたいほど悔しかった。,I was so frustrated I could cry.,particles,ほど (extent)
親になってはじめて、親のありがたさが分かった。,Only after becoming a parent did I understand what my parents did for me.,verb-forms,〜てはじめて
失敗をいつまでも気にしないでください。,Please don't keep dwelling on the mistake.,word-choice,気にする vs 気になる
皆様に心よりお礼を申し上げます。,I would like to express my heartfelt thanks to you all.,keigo,申し上げる
上司の許可をもらってからでないと、この資料は外部に出せません。,I can't release these materials externally until I get my boss's approval.,conditionals,〜てからでないと
彼はわざと負けて、子供を喜ばせた。,He lost on purpose to make the child happy.,word-choice,わざと vs わざわざ
新しい空港の建設をめぐって、住民の意見が分かれている。,Residents are divided over the construction of a new airport.,social texts,Institutional language and scope
経験の有無にかかわらず、研修には参加できます。,You may take part in the training regardless of whether you have experience.,social texts,Institutional language and scope
この講座は年齢を問わず、だれでも受講できる。,"Anyone can take this course, regardless of age.",social texts,Institutional language and scope
大雪のため、多くの便が欠航を余儀なくされた。,"Because of heavy snow, many flights were forced to be canceled.",social texts,Institutional language and scope
地域の文化を守るため、世代を超えた協力が求められている。,"To preserve local culture, cooperation across generations is being called for.",social texts,Institutional language and scope
この法律は、個人情報の保護を目的として制定された。,This law was enacted for the purpose of protecting personal information.,social texts,Institutional language and scope
利用者の声を通じて、サービスの課題が見えてきた。,"Through users' feedback, issues with the service have become clear.",social texts,Institutional language and scope
その地域ならではの食材を生かした料理が人気を集めている。,Dishes that make use of ingredients unique to that region are gaining popularity.,social texts,Institutional language and scope
海外との交流を契機に、町の雰囲気が少しずつ変わった。,Contact with other countries became the catalyst for the town's atmosphere to change gradually.,social texts,Institutional language and scope
災害への備えは、日常生活の中でこそ意識すべきだ。,Preparedness for disasters is precisely something we should be conscious of in everyday life.,social texts,Institutional language and scope
彼の説明は信頼に足るものだったが、証拠を確認する必要はある。,"His explanation was worthy of trust, but the evidence still needs to be checked.",stance and evaluation,Qualified judgment and emphasis
反対するにしても、相手の意見を聞く姿勢は必要だ。,"Even if you oppose it, you need to be willing to listen to the other side.",stance and evaluation,Qualified judgment and emphasis
できるものなら、当時の自分に助言をしたい。,"If it were possible, I would like to give advice to my younger self.",stance and evaluation,Qualified judgment and emphasis
このような基本的な約束も守れないようでは、信頼を得るのは難しい。,"If you cannot even keep such basic promises, it will be hard to earn trust.",stance and evaluation,Qualified judgment and emphasis
その知らせを聞いて、驚きを禁じ得なかった。,"On hearing the news, I could not help being surprised.",stance and evaluation,Qualified judgment and emphasis
彼は五十歳にして初めて自分の会社を設立した。,He founded his own company for the first time at the age of fifty.,stance and evaluation,Qualified judgment and emphasis
今回の失敗は、準備不足の結果と言わざるを得ない。,We have to say that this failure was the result of insufficient preparation.,stance and evaluation,Qualified judgment and emphasis
その方法が最善だとは言い切れない。,We cannot state categorically that that method is the best.,stance and evaluation,Qualified judgment and emphasis
この作品は、作者の長年の経験があってこそ生まれた。,This work could only have been created because of the author's many years of experience.,stance and evaluation,Qualified judgment and emphasis
彼女は研究を続けるかたわら、若い学生を指導している。,"Alongside continuing her research, she mentors younger students.",stance and evaluation,Qualified judgment and emphasis
委員会が昨年から検討してきた案は、来月ようやく公表される。,The proposal the committee has been considering since last year will finally be announced next month.,dense sentences,Clause boundaries and focus
専門家が指摘した、制度の運用上見落とされがちな問題を整理した。,We organized the problems in the system's operation that experts pointed out are easily overlooked.,dense sentences,Clause boundaries and focus
地域で長く活動してきた団体による支援が、被災者の生活を支えている。,Support from groups that have worked in the region for a long time is sustaining the lives of disaster victims.,dense sentences,Clause boundaries and focus
私たちが今考えるべきなのは、何を変えるかではなく、なぜ変えるのかだ。,"What we need to consider now is not what to change, but why to change it.",dense sentences,Clause boundaries and focus
予想を上回る応募があったことから、会場を変更することになった。,"Because applications exceeded expectations, it was decided that the venue would be changed.",dense sentences,Clause boundaries and focus
彼が提案した方法には、費用を抑えられるという利点がある。,The method he proposed has the advantage that costs can be kept down.,dense sentences,Clause boundaries and focus
報告書によれば、調査に協力した人の半数が不安を感じている。,"According to the report, half of the people who cooperated with the survey feel anxious.",dense sentences,Clause boundaries and focus
私が驚いたのは、彼が失敗を隠さずに話したことだった。,What surprised me was that he spoke about his failure without hiding it.,dense sentences,Clause boundaries and focus
予算が限られている以上、すべての要望に応えるのは難しい。,"Since the budget is limited, it is difficult to meet every request.",dense sentences,Clause boundaries and focus
必要なのは、個人の努力だけに頼らない仕組みを作ることだ。,What is needed is to create a system that does not rely on individual effort alone.,dense sentences,Clause boundaries and focus
計画には課題があるものの、現時点で中止するほどではない。,"Although the plan has issues, they are not serious enough to stop it at this point.",discourse and implication,"Concession, causality, and rhetorical focus"
彼の発言は批判というより、状況への不安を表したものだろう。,His remarks were probably an expression of concern about the situation rather than criticism.,discourse and implication,"Concession, causality, and rhetorical focus"
情報が十分でない以上、今すぐ結論を出すわけにはいかない。,"Given that we do not have enough information, we cannot reach a conclusion right away.",discourse and implication,"Concession, causality, and rhetorical focus"
結果だけを重視するあまり、過程で得られる学びを見失ってはいけない。,We must not focus so much on results that we lose sight of what can be learned in the process.,discourse and implication,"Concession, causality, and rhetorical focus"
この制度は便利である反面、利用者に一定の負担を求める。,"While this system is convenient, it also places a certain burden on users.",discourse and implication,"Concession, causality, and rhetorical focus"
一度失った信頼を取り戻すには、時間がかかって当然だ。,It is only natural that it takes time to regain trust once it has been lost.,discourse and implication,"Concession, causality, and rhetorical focus"
専門家の助言を受けたからといって、必ず成功するわけではない。,Receiving expert advice does not necessarily guarantee success.,discourse and implication,"Concession, causality, and rhetorical focus"
彼の説明を聞く限り、その選択には十分な理由があるようだ。,"Judging from his explanation, there seems to be good reason for that choice.",discourse and implication,"Concession, causality, and rhetorical focus"
問題を先送りにすればするほど、解決は難しくなる。,"The longer we put off the problem, the harder it becomes to solve.",discourse and implication,"Concession, causality, and rhetorical focus"
この結果は偶然ではなく、地道な改善を重ねた成果だ。,This result is not accidental; it is the outcome of steady improvements.,discourse and implication,"Concession, causality, and rhetorical focus"
本日をもって、この窓口での受付を終了いたします。,"As of today, we will stop accepting applications at this counter.",integrated reading,"Synthesis: form, stance, and context"
十分な準備をしておくに越したことはない。,There is nothing better than being thoroughly prepared in advance.,integrated reading,"Synthesis: form, stance, and context"
新たな証拠が出ない限り、判断を変えるつもりはない。,"Unless new evidence emerges, I do not intend to change my judgment.",integrated reading,"Synthesis: form, stance, and context"
この問題は一つの分野だけでは解決し得ない。,This problem cannot be solved by one field alone.,integrated reading,"Synthesis: form, stance, and context"
社会の変化に伴い、働き方そのものが見直されつつある。,"Along with social change, the very way people work is gradually being reconsidered.",integrated reading,"Synthesis: form, stance, and context"
当事者の声を聞かずして、適切な対策を立てることはできない。,"Without listening to the voices of those concerned, we cannot formulate appropriate measures.",integrated reading,"Synthesis: form, stance, and context"
彼の努力は評価に値するが、課題が残っていないわけではない。,"His effort deserves recognition, but that does not mean no issues remain.",integrated reading,"Synthesis: form, stance, and context"
制度を変えること自体が目的化してはならない。,Changing the system itself must not become the goal.,integrated reading,"Synthesis: form, stance, and context"
その判断が正しかったかどうかは、今後の結果を待たなければ分からない。,We will not know whether that decision was correct until we see future results.,integrated reading,"Synthesis: form, stance, and context"
異なる立場の人が対話を重ねることにこそ、解決への手がかりがある。,The key to a solution lies precisely in people from different positions continuing a dialogue.,integrated reading,"Synthesis: form, stance, and context"
